price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,yr_built
221900,3,1,1180,5650,1,3,7,1180,1955
538000,3,2,2570,7242,2,3,7,2170,1951
180000,2,1,770,10000,1,3,6,770,1933
604000,4,3,1960,5000,1,5,7,1050,1965
510000,3,2,1680,8080,1,3,8,1680,1987
1225000,4,5,5420,101930,1,3,11,3890,2001
257500,3,2,1715,6819,2,3,7,1715,1995
291850,3,2,1060,9711,1,3,7,1060,1963
229500,3,1,1780,7470,1,3,7,1050,1960
323000,3,3,1890,6560,2,3,7,1890,2003
662500,3,3,3560,9796,1,3,8,1860,1965
468000,2,1,1160,6000,1,4,7,860,1942
310000,3,1,1430,19901,2,4,7,1430,1927
400000,3,2,1370,9680,1,4,7,1370,1977
530000,5,2,1810,4850,2,3,7,1810,1900
650000,4,3,2950,5000,2,3,9,1980,1979
395000,3,2,1890,14040,2,3,7,1890,1994
485000,4,1,1600,4300,2,4,7,1600,1916
189000,2,1,1200,9850,1,4,7,1200,1921
230000,3,1,1250,9774,1,4,7,1250,1969
385000,4,2,1620,4980,1,4,7,860,1947
2000000,3,3,3050,44867,1,3,9,2330,1968
285000,5,3,2270,6300,2,3,8,2270,1995
252700,2,2,1070,9643,1,3,7,1070,1985
329000,3,2,2450,6500,2,4,8,2450,1985
233000,3,2,1710,4697,2,5,6,1710,1941
937000,3,2,2450,2691,2,3,8,1750,1915
667000,3,1,1400,1581,2,5,8,1400,1909
438000,3,2,1520,6380,1,3,7,790,1948
719000,4,3,2570,7173,2,3,8,2570,2005
580500,3,3,2320,3980,2,3,8,2320,2003
280000,2,2,1190,1265,3,3,7,1190,2005
687500,4,2,2330,5000,2,4,7,1510,1929
535000,3,1,1090,3000,2,4,8,1090,1929
322500,4,3,2060,6659,1,3,7,1280,1981
696000,3,3,2300,3060,2,3,8,1510,1930
550000,4,1,1660,34848,1,1,5,930,1933
640000,4,2,2360,6000,2,4,8,2360,1904
240000,4,1,1220,8075,1,2,7,890,1969
605000,4,3,2620,7553,2,3,8,2620,1996
625000,4,3,2570,5520,2,3,9,2570,2000
775000,4,2,4220,24186,1,3,8,2600,1984
861990,5,3,3595,5639,2,3,9,3595,2014
685000,3,1,1570,2280,2,3,7,1570,1922
309000,3,1,1280,9656,1,4,6,920,1959
488000,3,3,3160,13603,2,3,8,3160,2003
210490,3,1,990,8528,1,3,6,990,1966
785000,4,3,2290,13416,2,4,9,2290,1981
450000,3,2,1250,5963,1,4,7,1250,1953
1350000,3,3,2753,65005,1,5,9,2165,1953
228000,3,1,1190,9199,1,3,7,1190,1955
345000,5,3,3150,9134,1,4,8,1640,1966
600000,3,2,1410,4080,1,4,7,1000,1950
585000,2,2,1980,8550,1,3,7,990,1981
920000,5,2,2730,6000,2,3,8,2130,1927
885000,4,3,2830,5000,2,3,9,2830,1995
292500,4,3,2250,4495,2,3,7,2250,2008
301000,3,3,2420,4750,2,3,8,2420,2003
951000,5,3,3250,14342,2,4,8,3250,1968
430000,4,3,1850,9976,2,3,8,1850,1991
650000,3,2,2150,21235,1,4,8,1590,1959
289000,3,2,1260,8400,1,3,7,1260,1954
505000,3,2,2519,8690,2,5,8,2519,1973
549000,3,2,1540,1044,3,3,8,1540,2014
425000,3,2,1660,6000,1,3,7,1110,1979
317625,3,3,2770,3809,2,5,7,1770,1925
975000,4,3,2720,11049,2,3,10,2720,1989
287000,4,3,2240,4648,2,3,7,2240,2005
